EarthquakeDepth,M,Rrup,Rjb,lnPGA,lnPGV,lnVs30,Residual
3.18,3.9,204.2,204.31,-11.364505459851955,-7.594920387864535,6.0844994130751715,-1.70760169264681
4.7,3.7,126.92,126.94,-10.479627963100375,-6.210041391718357,5.497168225293202,-1.91230479072866
2.43,3.5,66.16,66.2,-8.965387423961383,-5.834720113969002,6.452048954437226,-0.659346239760415
13.68,5.0,327.08,327.22,-8.797988101577236,-3.818952741454216,6.008813185442595,-0.63984120578999
15.96,3.7,120.22,119.27,-9.383021491473572,-5.315590573127696,5.955837369464831,-1.3366519254487
0.94,4.3,116.21,116.31,-7.663681228618623,-3.920836026263602,6.565264970035361,0.130771202627145
8.03,4.1,97.25,97.08,-7.536138032673133,-3.965108905573758,5.968707559985366,-0.343885029843249
1.9,3.9,204.89,205.0,-9.002151526939869,-4.982502328264844,5.717027701406222,0.561726028056027
10.19,3.8,252.9,252.82,-10.748005959186074,-6.38691322753752,6.102558594613569,-0.630214948098825
12.76,3.9,200.28,200.01,-6.214138658626297,-2.392005704405084,5.910796644040527,2.78140054933663
11.22,3.6,317.57,317.48,-10.0418916661781,-5.822226203522284,5.429345628954441,0.888755904774801
0.1,4.4,294.08,294.13,-9.688416770517447,-5.524561419453576,6.023447592961033,0.142996359815452
6.43,3.9,86.76,86.66,-8.115615362329939,-3.5554803902444774,6.240275845170769,-0.497804560158008
5.6,4.0,289.44,289.56,-11.220631219956982,-6.789514126055274,6.202535517187923,-0.799581141997136
3.31,4.0,102.14,102.22,-8.75467631472452,-4.923678722358407,6.102558594613569,-0.927194366519942
9.58,3.6,34.3,33.05,-5.668735691009065,-2.485503327764904,6.565264970035361,1.01772969679253
1.8,3.5,61.37,61.43,-8.222718900892051,-4.741105184961342,5.886104031450156,-0.277849794486247
3.36,3.8,211.57,211.68,-10.173908105927184,-6.501575692840868,6.126869184114185,-0.193451641925858
9.65,3.5,193.7,193.55,-10.356595237543955,-6.73629979470479,6.342121418721152,-0.215542314577668
1.86,3.6,77.79,77.85,-11.786048397917735,-8.003013000507442,6.333279628139691,-3.43031040386316
14.44,4.3,147.91,147.41,-9.102504512511276,-4.691188409045668,5.916202062607435,-1.82047962612283
2.3,3.6,45.45,45.47,-7.894003025551398,-4.426450692173959,5.683579767338681,-0.783051604189882
17.64,3.6,87.78,86.05,-4.625777138266902,-1.5810323963306527,5.69035945432406,2.78581003357739
3.26,3.5,174.86,174.93,-9.56452833957727,-6.346816652098376,6.565264970035361,0.767123024223064
7.16,3.5,147.23,147.16,-12.157172563592397,-8.231501936827941,5.924255797414532,-2.75882508001474
5.16,4.5,280.21,280.41,-9.109205461626521,-4.361675687144485,6.013715156042802,0.0626811343594156
-0.07,3.9,165.41,165.42,-9.23896313274127,-5.448425279381391,6.12029741895095,0.0664238771806769
5.74,4.1,109.07,109.07,-8.18930054732508,-3.723570406939908,6.035481432524756,-0.608954615022721
7.74,4.0,213.65,213.67,-10.579061648207,-6.538339959393468,6.401917196727186,-1.11364818099271
2.07,3.6,70.06,70.12,-11.817981066966405,-7.211788763430707,6.0014148779611505,-3.81834342165652
1.44,3.6,47.29,47.34,-5.0244323370688475,-1.8412598245235152,5.968707559985366,2.33116743399307
9.17,3.5,301.41,301.37,-6.76761514726002,-3.4246303209741527,5.683579767338681,4.42792831397015
3.14,3.9,189.3,189.41,-6.292261795388994,-3.085415894172021,6.102558594613569,3.17173682577638
10.21,3.6,282.53,282.45,-8.64922342562878,-4.868754111940354,5.932245187448011,2.17241381761244
12.29,3.7,86.9,86.11,-9.19586997500117,-5.835974661560001,6.565264970035361,-1.31383034779905
10.75,4.0,14.3,10.56,-2.6054936624161082,1.4854305306640883,6.319958614030018,1.78761290848654
10.24,3.5,59.39,58.58,-7.01006755635358,-4.128882281726873,6.1070228877422545,0.518477175947994
6.36,3.7,152.38,152.36,-8.99453326669054,-5.1317724591859415,6.118097198041348,0.18887557383723
18.7,3.8,111.17,109.65,-8.072507690667663,-4.699318944503304,6.124683390894205,-0.477532963540708
9.96,3.6,200.49,200.35,-11.41215865423725,-6.961702460235282,6.1903154058531475,-1.48222133520527
8.09,4.0,89.89,89.65,-7.674008069613184,-3.740643933175763,5.683579767338681,-0.556452372409317
7.45,3.5,15.34,13.64,-4.545720371634843,-1.409160980850407,5.736572297479192,0.929398337028664
13.86,3.5,57.98,56.41,-7.485368279556024,-4.068446666521228,5.476463551931511,-0.492185025262422
11.11,3.8,35.52,33.88,-4.915629228711852,-1.629980116149511,6.102558594613569,1.09233044903055
10.55,3.9,58.35,57.5,-6.862244677179466,-3.2285490348728985,5.081404364984463,-0.720753582130497
3.16,3.5,161.5,161.57,-8.226773980847073,-4.759124438441803,5.918893854273146,1.60938089722272
9.66,3.9,176.77,176.65,-8.834298581954622,-5.819731922362875,6.565264970035361,0.31127493926909
6.68,3.7,143.66,143.62,-10.239096801638212,-6.087871928618014,6.251903883165888,-1.14810149405854
11.42,3.8,165.63,165.37,-10.0016710624024,-5.313823812461554,6.148468295917647,-1.09630041135937
4.75,3.6,302.44,302.51,-10.06309308304635,-5.811414067258088,5.973809611869261,1.30829576219956
9.69,4.1,53.61,52.88,-6.840257484566138,-2.7175963307556907,5.616771097666572,-0.973680944159817
-0.87,4.3,237.44,237.04,-11.490955873512231,-7.627616092519033,6.565264970035361,-1.81591928830747
10.9,3.8,37.8,36.34,-8.42786093475261,-4.659931518653511,6.12029741895095,-2.3046856205627
3.07,4.6,200.28,200.46,-9.09588830004714,-5.129859163505241,6.12029741895095,-0.976641464269408
4.27,4.6,185.44,185.61,-10.546315643091551,-5.74478670453031,6.12029741895095,-2.69773159969973
5.55,3.8,164.62,164.66,-10.515876097144972,-5.97279962557717,6.148468295917647,-1.30271250252508
14.86,3.7,55.52,53.62,-7.967249052026648,-4.14642380749341,6.102558594613569,-1.23901531964657
22.14,4.9,121.36,119.68,-5.630626329631948,-1.290947854702658,5.910796644040527,-0.389170196689671
2.69,3.6,277.03,277.13,-10.520327275869754,-6.581041645880666,6.410174881966167,0.87493706702092
5.25,3.9,72.51,72.44,-7.179638729479084,-3.680709796828249,5.429345628954441,-0.20776959504301
7.44,3.6,191.8,191.76,-11.716231401855218,-7.520488645352473,6.148468295917647,-1.78625763448444
19.34,4.0,163.29,162.24,-8.02682385813767,-4.374323500143409,6.023447592961033,-0.0814695398317564
3.71,3.5,139.75,139.8,-11.341168180786454,-7.119399921880867,5.955837369464831,-1.85836989194041
1.34,3.8,114.11,114.2,-8.68039388267252,-4.85311402537697,5.429345628954441,-0.402942782286781
6.76,4.0,134.8,134.78,-8.313149527177966,-4.194368741483504,6.236369590203704,-0.0247691146478388
